date,highest_temp,lowest_temp,weather
2021-01-01,0,-11,晴
2021-01-02,0,-9,晴
2021-01-03,0,-7,多云
2021-01-04,-1,-11,晴
2021-01-05,-2,-11,晴
2021-01-06,0,-19,多云
2021-01-07,-7,-14,晴
2021-01-08,-2,-10,晴
2021-01-09,1,-8,晴
2021-01-10,1,-7,多云
2021-01-11,2,-8,多云
2021-01-12,4,-6,晴
2021-01-13,9,-6,晴
2021-01-14,2,-4,阴
2021-01-15,3,-8,晴
2021-01-16,0,-8,晴
2021-01-17,3,-7,晴
2021-01-18,4,-6,晴
2021-01-19,-3,-8,阴
2021-01-20,1,-5,晴
2021-01-21,5,-5,阴
2021-01-22,5,-7,晴
2021-01-23,3,-6,多云
2021-01-24,5,-5,晴
2021-01-25,1,-6,雨夹雪
2021-01-26,6,-7,阴
2021-01-27,3,-6,阴
2021-01-28,-1,-9,晴
2021-01-29,0,-8,晴
2021-01-30,7,-7,晴
2021-01-31,0,-5,多云
2021-02-01,3,-8,晴
2021-02-02,0,-9,晴
2021-02-03,7,-6,晴
2021-02-04,10,-5,晴
2021-02-05,15,-1,晴
2021-02-06,16,-1,多云
2021-02-07,7,-4,晴
2021-02-08,8,-5,晴
2021-02-09,10,-3,晴
2021-02-10,15,-3,晴
2021-02-11,10,0,霾
2021-02-12,14,1,霾
2021-02-13,8,2,霾
2021-02-14,4,-4,晴
2021-02-15,5,-2,晴
2021-02-16,0,-6,晴
2021-02-17,2,-6,晴
2021-02-18,6,-4,晴
2021-02-19,16,-2,晴
2021-02-20,20,4,多云
2021-02-21,25,4,晴
2021-02-22,12,1,多云
2021-02-23,3,-2,阴
2021-02-24,4,-2,多云
2021-02-25,7,-2,晴
2021-02-26,11,-2,晴
2021-02-27,11,2,阴
2021-02-28,5,1,小雪
2021-03-01,5,-6,小雪
2021-03-02,4,-2,多云
2021-03-03,6,2,多云
2021-03-04,11,2,阴
2021-03-05,9,-2,雾
2021-03-06,4,-5,阴
2021-03-07,8,-2,多云
2021-03-08,10,1,多云
2021-03-09,15,3,多云
2021-03-10,16,8,雾
2021-03-11,17,7,阴
2021-03-12,10,6,小雨
2021-03-13,14,8,多云
2021-03-14,13,9,阴
2021-03-15,12,2,扬沙
2021-03-16,15,3,浮尘
2021-03-17,13,6,小雨
2021-03-18,8,3,阴
2021-03-19,10,5,阴
2021-03-20,13,3,浮尘
2021-03-21,12,1,晴
2021-03-22,19,5,晴
2021-03-23,23,8,晴
2021-03-24,21,6,阴
2021-03-25,21,11,多云
2021-03-26,14,10,小雨
2021-03-27,18,10,雾
2021-03-28,18,8,扬沙
2021-03-29,19,6,多云
2021-03-30,21,9,多云
2021-03-31,24,10,多云
2021-04-01,18,13,阴
2021-04-02,16,10,阴
